--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000201> | "maize Culvularia clavata leaf spot fungal disease"^^xsd:string                       | <http://purl.obolibrary.org/obo/OOPS_1003125> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000055> | "rice sheath spot fungal disease"^^xsd:string                                         | <http://purl.obolibrary.org/obo/OOPS_1002862> | "Sheath spot"                                                       |
| <http://purl.obolibrary.org/obo/PDO_0000222> | "maize Macrophomina charcoal rot fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1003009> | "Charcoal rot"                                                      |
| <http://purl.obolibrary.org/obo/PDO_0000222> | "maize Macrophomina charcoal rot fungal disease"^^xsd:string                          | <http://purl.obolibrary.org/obo/OOPS_1003010> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000184> | "maize Bipolaris southern leaf blight fungal disease"^^xsd:string                     | <http://purl.obolibrary.org/obo/OOPS_1003061> | "Southern corn leaf blight and stalk rot"                           |
| <http://purl.obolibrary.org/obo/PDO_0000184> | "maize Bipolaris southern leaf blight fungal disease"^^xsd:string                     | <http://purl.obolibrary.org/obo/OOPS_1003059> | "Southern corn leaf blight and stalk rot"                           |
| <http://purl.obolibrary.org/obo/PDO_0000184> | "maize Bipolaris southern leaf blight fungal disease"^^xsd:string                     | <http://purl.obolibrary.org/obo/OOPS_1003060> | "Southern corn leaf blight and stalk rot"                           |
| <http://purl.obolibrary.org/obo/PDO_0000207> | "maize Setosphaeria minor leaf spot fungal disease"^^xsd:string                       | <http://purl.obolibrary.org/obo/OOPS_1003022> | "Leaf spots, minor"                                                 |
| <http://purl.obolibrary.org/obo/PDO_0000207> | "maize Setosphaeria minor leaf spot fungal disease"^^xsd:string                       | <http://purl.obolibrary.org/obo/OOPS_1003021> | "Leaf spots, minor"                                                 |
| <http://purl.obolibrary.org/obo/PDO_0000020> | "rice foot rot bacterial disease"^^xsd:string                                         | <http://purl.obolibrary.org/obo/OOPS_1002867> | "Foot rot"                                                          |
