defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PDO:0000263	maize Curvularia intermedia leaf spot fungal disease	NCBITaxon:95735		NCBITaxon:4577		PO:0025034		
PDO:0000264	maize Curvularia lunata leaf spot fungal disease	NCBITaxon:5503		NCBITaxon:4577		PO:0025034		
PDO:0000265	maize Curvularia senegalensis leaf spot fungal disease	NCBITaxon:215132		NCBITaxon:4577		PO:0025034		
PDO:0000266	maize Curvularia tuberculata leaf spot fungal disease	NCBITaxon:1056642		NCBITaxon:4577		PO:0025034		
PDO:0000204	maize Dictyochaeta minor root rot fungal disease	NCBITaxon:139969		NCBITaxon:4577		PO:0000003		
PDO:0000203	maize Didymella leaf spot fungal disease	NCBITaxon:487631		NCBITaxon:4577		PO:0025034		
PDO:0000254	maize Diplodia leaf rot fungal disease	NCBITaxon:371119		NCBITaxon:4577		PO:0020136		
PDO:0000258	maize Diplodia leaf spot fungal disease	NCBITaxon:371126		NCBITaxon:4577		PO:0025034		
PDO:0000259	maize Diplodia leaf streak fungal disease	NCBITaxon:371126		NCBITaxon:4577		PO:0025034		
PDO:0000255	maize Diplodia stalk rot fungal disease	NCBITaxon:371119		NCBITaxon:4577		PO:0000003		
PDO:0000205	maize Doratomyces leafonitis minor leaf rot fungal disease	NCBITaxon:186354		NCBITaxon:4577		PO:0020136		
PDO:0000206	maize Epicoccum minor leaf spot fungal disease	NCBITaxon:105696		NCBITaxon:4577		PO:0025034		
PDO:0000185	maize foolish seedling fungal disease	NCBITaxon:117187		NCBITaxon:4577		PO:0000003		
PDO:0000012	maize fungal disease	NCBITaxon:4751		NCBITaxon:4577		PO:0009011		
PDO:0000271	maize Fusarium culmorum minor leaf rot fungal disease	NCBITaxon:5516		NCBITaxon:4577		PO:0020136		
PDO:0000247	maize Fusarium leaf rot fungal disease	NCBITaxon:117187		NCBITaxon:4577		PO:0020136		
PDO:0000180	maize Fusarium leaf rot fungal disease	NCBITaxon:5518		NCBITaxon:4577		PO:0009010		
PDO:0000181	maize Fusarium leafling blight fungal disease	NCBITaxon:117187		NCBITaxon:4577		PO:0009010		
PDO:0000248	maize Fusarium seed rot-leafling blight fungal disease	NCBITaxon:117187		NCBITaxon:4577		PO:0009010		
PDO:0000241	maize Gaeumannomyces sheath rot fungal disease	NCBITaxon:29850		NCBITaxon:4577		PO:0000003		
PDO:0000178	maize Gibberella leaf rot fungal disease	NCBITaxon:5518		NCBITaxon:4577		PO:0020136		
PDO:0000179	maize Gibberella stalk rot fungal disease	NCBITaxon:5518		NCBITaxon:4577		PO:0000003		
PDO:0000151	maize Goss's bacterial wilt disease	NCBITaxon:31963		NCBITaxon:4577		PO:0000003		
PDO:0000152	maize holcus spot bacterial disease	NCBITaxon:321		NCBITaxon:4577		PO:0000003		
PDO:0000232	maize Hyalothyridium leaf spot fungal disease	NCBITaxon:55172		NCBITaxon:4577		PO:0025034		
PDO:0000218	maize Lasiodiplodia black kernel rot fungal disease	NCBITaxon:45133		NCBITaxon:4577		PO:0000003		
PDO:0000222	maize Macrophomina charcoal rot fungal disease	NCBITaxon:35725		NCBITaxon:4577		PO:0000003		
PDO:0000234	maize Magnaporthiopsis late wilt fungal disease	NCBITaxon:80373		NCBITaxon:4577		PO:0000003		
PDO:0000219	maize Marasmiellus borde blanco fungal disease	NCBITaxon:71896		NCBITaxon:4577		PO:0000003		
PDO:0000246	maize Microdochium zonate leaf spot fungal disease	NCBITaxon:1682391		NCBITaxon:4577		PO:0025034		
PDO:0000236	maize Myrothecium shuck rot fungal disease	NCBITaxon:226117		NCBITaxon:4577		PO:0000003		
PDO:0000257	maize Nigrospora dry leaf rot fungal disease	NCBITaxon:335854		NCBITaxon:4577		PO:0020136		
PDO:0000186	maize northern leaf blight fungal disease	NCBITaxon:93612		NCBITaxon:4577		PO:0025034		
PDO:0000183	maize northern leaf spot fungal disease	NCBITaxon:5017		NCBITaxon:4577		PO:0025034		
PDO:0000233	maize Peronosclerospora java downy mildew fungal disease	NCBITaxon:886949		NCBITaxon:4577		PO:0000003		
PDO:0000238	maize Peronosclerospora sorghum downy mildew fungal disease	NCBITaxon:230839		NCBITaxon:4577		PO:0000003		
PDO:0000243	maize Peronosclerospora sugarcane downy mildew fungal disease	NCBITaxon:467161		NCBITaxon:4577		PO:0000003		
PDO:0000245	maize Peyronellaea yellow leaf blight fungal disease	NCBITaxon:259522		NCBITaxon:4577		PO:0025034		
PDO:0000235	maize Phaeosphaeria leaf spot fungal disease	NCBITaxon:259522		NCBITaxon:4577		PO:0025034		
PDO:0000244	maize Phyllachora tar spot fungal disease	NCBITaxon:1825666		NCBITaxon:4577		PO:0000003		
PDO:0000256	maize Physoderma brown spot fungal disease	NCBITaxon:276838		NCBITaxon:4577		PO:0000003		
PDO:0000273	maize Pithomyces maydicus minor leaf rot fungal disease	NCBITaxon:1463504		NCBITaxon:4577		PO:0020136		
PDO:0000208	maize Pythium stalk rot fungal disease	NCBITaxon:65070		NCBITaxon:4577		PO:0000003		
PDO:0000240	maize Ramulispora grey leaf spot fungal disease	NCBITaxon:135778		NCBITaxon:4577		PO:0025034		
PDO:0000252	maize Rhizoctonia banded leaf fungal disease	NCBITaxon:456999		NCBITaxon:4577		PO:0025034		
PDO:0000223	maize Rhizoctonia corticium leaf rot fungal disease	NCBITaxon:456999		NCBITaxon:4577		PO:0020136		
PDO:0000251	maize Rhizoctonia sheath spot fungal disease	NCBITaxon:456999		NCBITaxon:4577		PO:0000003		
PDO:0000274	maize Rhizopus microsporus minor leaf rot fungal disease	NCBITaxon:58291		NCBITaxon:4577		PO:0020136		
PDO:0000275	maize Rhizopus stolonifer minor leaf rot fungal disease	NCBITaxon:4846		NCBITaxon:4577		PO:0020136		
PDO:0000187	maize Sarocladium black bundle fungal disease	NCBITaxon:5046		NCBITaxon:4577		PO:0000003		
PDO:0000221	maize Sarocladium kernel rot fungal disease	NCBITaxon:5046		NCBITaxon:4577		PO:0000003		
PDO:0000224	maize Sclerophthora crazy top downy mildew fungal disease	NCBITaxon:467176		NCBITaxon:4577		PO:0000003		
PDO:0000230	maize Sclerospora green leaf downy mildew fungal disease	NCBITaxon:162130		NCBITaxon:4577		PO:0020136		
PDO:0000276	maize Scopulariopsis brumptii minor leaf rot fungal disease	NCBITaxon:40376		NCBITaxon:4577		PO:0020136		
PDO:0000154	maize seed rot and leafling blight bacterial disease	NCBITaxon:1423		NCBITaxon:4577		PO:0009010		
PDO:0000207	maize Setosphaeria minor leaf spot fungal disease	NCBITaxon:39953		NCBITaxon:4577		PO:0025034		
PDO:0000231	maize Setosphaeria root rot fungal disease	NCBITaxon:119929		NCBITaxon:4577		PO:0000003		
PDO:0000237	maize Sphacelotheca head smut fungal disease	NCBITaxon:72558		NCBITaxon:4577		PO:0000003		
PDO:0000239	maize Stenocarpella Southern leaf spot fungal disease	NCBITaxon:371126		NCBITaxon:4577		PO:0025034		
PDO:0000155	maize Stewart's bacterial disease	NCBITaxon:66271		NCBITaxon:4577		PO:0000003		
PDO:0000156	maize stunt bacterial disease	NCBITaxon:47834		NCBITaxon:4577		PO:0000003		
PDO:0000242	maize Ustilaginoidea false smut fungal disease	NCBITaxon:1159556		NCBITaxon:4577		PO:0000003		
PDO:0000182	maize Ustilago smut fungal disease	NCBITaxon:5270		NCBITaxon:4577		PO:0000003		
PDO:0000013	maize viral disease	NCBITaxon:10239		NCBITaxon:4577		PO:0009011		
PDO:0000002	plant bacterial disease	NCBITaxon:2		NCBITaxon:33090		PO:0009011		
PDO:0000001	plant disease	NCBITaxon:1		NCBITaxon:33090		PO:0009011		
PDO:0000004	plant fungal disease	NCBITaxon:4751		NCBITaxon:33090		PO:0009011		
PDO:0000005	plant viral disease	NCBITaxon:10239		NCBITaxon:33090		PO:0009011		
PDO:0000211	rice Achlya conspicua water-mold fungal disease	NCBITaxon:112027		NCBITaxon:4530		PO:0000003		
PDO:0000212	rice Achlya klebsiana water-mold fungal disease	NCBITaxon:4767		NCBITaxon:4530		PO:0000003		
PDO:0000027	rice aggregate sheath spot fungal disease	NCBITaxon:63189		NCBITaxon:4530		PO:0000003		
PDO:0000089	rice Athelia rolfsii leafling blight fungal disease	NCBITaxon:39291		NCBITaxon:4530		PO:0009010		
PDO:0000014	rice bacterial blight disease	NCBITaxon:64187		NCBITaxon:4530		PO:0000003		
PDO:0000003	rice bacterial disease	NCBITaxon:2		NCBITaxon:4530		PO:0009011		
PDO:0000019	rice bacterial leaf streak disease	NCBITaxon:129394		NCBITaxon:4530		PO:0025034		
PDO:0000167	rice bacterial panicle blight disease	NCBITaxon:1176514		NCBITaxon:4530		PO:0000003		
PDO:0000168	rice bakanae fungal disease	NCBITaxon:5127		NCBITaxon:4530		PO:0000003		
PDO:0000084	rice Bipolaris oryzae leafling blight fungal disease	NCBITaxon:101162		NCBITaxon:4530		PO:0009010		
PDO:0000029	rice black kernel fungal disease	NCBITaxon:5503		NCBITaxon:4530		PO:0000003		
PDO:0000121	rice black streak dwarf viral disease	NCBITaxon:10990		NCBITaxon:4530		PO:0000003		
PDO:0000031	rice blast fungal disease	NCBITaxon:318829		NCBITaxon:4530		PO:0000003		
PDO:0000033	rice brown spot fungal disease	NCBITaxon:101162		NCBITaxon:4530		PO:0000003		
PDO:0000035	rice crown sheath rot fungal disease	NCBITaxon:29850		NCBITaxon:4530		PO:0000003		
PDO:0000085	rice Curvularia seedling blight fungal disease	NCBITaxon:5502		NCBITaxon:4530		PO:0000003		
PDO:0000037	rice downy mildew fungal disease	NCBITaxon:467176		NCBITaxon:4530		PO:0000003		
PDO:0000122	rice dwarf viral disease	NCBITaxon:10991		NCBITaxon:4530		PO:0000003		
PDO:0000039	rice eyespot fungal disease	NCBITaxon:1937655		NCBITaxon:4530		PO:0000003		
PDO:0000041	rice false smut fungal disease	NCBITaxon:1159556		NCBITaxon:4530		PO:0000003		
PDO:0000020	rice foot rot bacterial disease	NCBITaxon:556		NCBITaxon:4530		PO:0000003		
PDO:0000081	rice fungal disease	NCBITaxon:4751		NCBITaxon:4530		PO:0009011		
PDO:0000209	rice Fusarium root rot fungal disease	NCBITaxon:5506		NCBITaxon:4530		PO:0009005		
PDO:0000086	rice Fusarium seedling blight fungal disease	NCBITaxon:5506		NCBITaxon:4530		PO:0000003		
PDO:0000213	rice Fusarium water-mold fungal disease	NCBITaxon:5506		NCBITaxon:4530		PO:0000003		
PDO:0000120	rice giallume viral disease	NCBITaxon:12037		NCBITaxon:4530		PO:0000003		
PDO:0000123	rice grassy stunt viral disease	NCBITaxon:66266		NCBITaxon:4530		PO:0000003		
PDO:0000124	rice hoja blanca viral disease	NCBITaxon:12332		NCBITaxon:4530		PO:0000003		
PDO:0000043	rice kernel smut fungal disease	NCBITaxon:157178		NCBITaxon:4530		PO:0000003		
PDO:0000023	rice leaf rot bacterial disease	NCBITaxon:337		NCBITaxon:4530		PO:0030104		
PDO:0000059	rice leaf rot fungal disease	NCBITaxon:165778		NCBITaxon:4530		PO:0009047		
PDO:0000049	rice narrow brown leaf spot fungal disease	NCBITaxon:706553		NCBITaxon:4530		PO:0025034		
PDO:0000125	rice necrotic mosaic viral disease	NCBITaxon:59500		NCBITaxon:4530		PO:0000003		
PDO:0000170	rice phytoplasma disease	NCBITaxon:203274		NCBITaxon:4530		PO:0000003		
PDO:0000065	rice Pythium dissotocum root rot fungal disease	NCBITaxon:82936		NCBITaxon:4530		PO:0000003		
PDO:0000215	rice Pythium dissotocum water-mold fungal disease	NCBITaxon:82936		NCBITaxon:4530		PO:0000003		
PDO:0000210	rice Pythium root rot fungal disease	NCBITaxon:4797		NCBITaxon:4530		PO:0009005		
PDO:0000073	rice Pythium spinosum root rot fungal disease	NCBITaxon:82948		NCBITaxon:4530		PO:0000003		
PDO:0000216	rice Pythium spinosum water-mold fungal disease	NCBITaxon:82948		NCBITaxon:4530		PO:0000003		
PDO:0000214	rice Pythium water-mold fungal disease	NCBITaxon:4797		NCBITaxon:4530		PO:0000003		
PDO:0000087	rice Rhizoctonia solani leafling blight fungal disease	NCBITaxon:456999		NCBITaxon:4530		PO:0009010		
PDO:0000126	rice rugged stunt viral disease	NCBITaxon:42475		NCBITaxon:4530		PO:0000003		
PDO:0000051	rice sheath blight fungal disease	NCBITaxon:456999		NCBITaxon:4530		PO:0000003		
PDO:0000024	rice sheath brown rot bacterial disease	NCBITaxon:50340		NCBITaxon:4530		PO:0000003		
PDO:0000053	rice sheath rot fungal disease	NCBITaxon:284135		NCBITaxon:4530		PO:0000003		
PDO:0000055	rice sheath spot fungal disease	NCBITaxon:459364		NCBITaxon:4530		PO:0000003		
PDO:0000057	rice stackburn fungal disease	NCBITaxon:714880		NCBITaxon:4530		PO:0000003		
PDO:0000127	rice stripe viral disease	NCBITaxon:12331		NCBITaxon:4530		PO:0000003		
PDO:0000128	rice transitory yellowing viral disease	NCBITaxon:59380		NCBITaxon:4530		PO:0000003		
PDO:0000007	rice viral disease	NCBITaxon:10239		NCBITaxon:4530		PO:0009011		
PDO:0000129	rice yellow dwarf phytoplasma disease	NCBITaxon:2155		NCBITaxon:4530		PO:0000003		
PDO:0000130	rice yellow mottle viral disease	NCBITaxon:31744		NCBITaxon:4530		PO:0000003		
PDO:0000082	Sarocladium oryzae pecky rice fungal disease	NCBITaxon:284135		NCBITaxon:4530		PO:0000003		
PDO:0000008	wheat bacterial disease	NCBITaxon:2		NCBITaxon:4565		PO:0009011		
PDO:0000061	wheat bacterial leaf blight	NCBITaxon:321		NCBITaxon:4565		PO:0000003		
PDO:0000009	wheat fungal disease	NCBITaxon:4751		NCBITaxon:4565		PO:0009011		
PDO:0000010	wheat viral disease	NCBITaxon:10239		NCBITaxon:4565		PO:0009011		
PDO:0000272	maize Gonatobotrys simplex minor ear rot fungal disease	NCBITaxon:2713053		NCBITaxon:4577		PO:0025597		
PDO:0000217	maize Ascochyta ischaemi yellow leaf blight fungal disease	NCBITaxon:5453		NCBITaxon:4577		PO:0020136		
PDO:0000045	rice leaf smut fungal disease	NCBITaxon:127114		NCBITaxon:4530		PO:0020136		
