	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
2089	OOPS:xxxxxxx	Odontoglossum ringspot virus Flower break of Cattleya	NCBITaxon:12238	Odontoglossum ringspot virus	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0009046	flower
2090	OOPS:xxxxxxx	Cymbidium mosaic virus Mosaic of Cattleya	NCBITaxon:12178	Cymbidium mosaic virus	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2091	OOPS:xxxxxxx	Odontoglossum ringspot virus Mosaic of Cattleya	NCBITaxon:12238	Odontoglossum ringspot virus	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2092	OOPS:xxxxxxx	Cymbidium mosaic virus White cell necrosis of Cattleya	NCBITaxon:12178	Cymbidium mosaic virus	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0009002	plant cell
2093	OOPS:xxxxxxx	Cephaleuros virescens Kunze Algal spot of Cattleya	NCBITaxon:173371	Cephaleuros virescens Kunze	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2095	OOPS:xxxxxxx	Iron deficiency Chlorotic leaf mottle of Cattleya	NCBITaxon:185820	Iron deficiency	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2103	OOPS:xxxxxxx	Fuligo spp. Slime molds of Cattleya	NCBITaxon:159719	Fuligo spp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2106	OOPS:xxxxxxx	Capnodium spp. Sooty mold of Cattleya	NCBITaxon:301097	Capnodium spp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2110	OOPS:xxxxxxx	Pseudomonas cichorii Bacterial blight of Miller) Pers.	NCBITaxon:1441629	Pseudomonas cichorii (Swingle) Stapp	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2111	OOPS:xxxxxxx	Pseudomonas syringae pv. apii Bacterial leaf spot of Miller) Pers.	NCBITaxon:205918	Pseudomonas syringae pv. apii (Jagger) Young et al.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0025034	leaf
2113	OOPS:xxxxxxx	Alternaria sp. Alternaria leaf spot of Miller) Pers.	NCBITaxon:1551618	Alternaria sp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0025034	leaf
2114	OOPS:xxxxxxx	Colletotrichum sp. Anthracnose of Miller) Pers.	NCBITaxon:1473215	Colletotrichum sp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2115	OOPS:xxxxxxx	Rhizoctonia solani Kühn Crater rot and damping-off of Miller) Pers.	NCBITaxon:1498287	Rhizoctonia solani Kühn	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2116	OOPS:xxxxxxx	Thanatephorus cucumeris Crater rot and damping-off of Miller) Pers.	NCBITaxon:1379297	Thanatephorus cucumeris (A. B. Frank) Donk [teleomorph]	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2117	OOPS:xxxxxxx	Cercospora apii Fresen. Early blight of Miller) Pers.	NCBITaxon:132184	Cercospora apii Fresen.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0020136	ear inflorescence
2118	OOPS:xxxxxxx	Fusarium oxysporum Schlechtend. Fusarium yellows and wilt of Miller) Pers.	NCBITaxon:909455	Fusarium oxysporum Schlechtend.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2120	OOPS:xxxxxxx	Botrytis cinerea Pers. Gray mold blight of Miller) Pers.	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2123	OOPS:xxxxxxx	Septoria apicola Speg. Late blight of Miller) Pers.	NCBITaxon:39702	Septoria apicola Speg.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2125	OOPS:xxxxxxx	Pythium debaryanum Auct.non R. Hesse Pythium damping-off and root rot of Miller) Pers.	NCBITaxon:231958	Pythium debaryanum Auct.non R. Hesse	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0009005	root
2126	OOPS:xxxxxxx	Fusarium solani Red root of Miller) Pers.	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0009005	root
2127	OOPS:xxxxxxx	Nectria haematococca Berk. & Broome [teleomorph] Red root of Miller) Pers.	NCBITaxon:140110	Nectria haematococca Berk. & Broome [teleomorph]	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0009005	root
2128	OOPS:xxxxxxx	Sclerotinia sclerotiorum Sclerotinia pink rot of Miller) Pers.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2129	OOPS:xxxxxxx	Sclerotinia minor Jagger Sclerotinia foot rot of Miller) Pers.	NCBITaxon:665078	Sclerotinia minor Jagger	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2131	OOPS:xxxxxxx	Stemphylium ramulosa Sacc. Stemphylium leaf spot of Miller) Pers.	NCBITaxon:644614	Stemphylium ramulosa Sacc.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0025034	leaf
2132	OOPS:xxxxxxx	Dolichodorus spp. Awl of Miller) Pers.	NCBITaxon:398404	Dolichodorus spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2133	OOPS:xxxxxxx	Dolichodorus heterocephalus Cobb Awl of Miller) Pers.	NCBITaxon:1542467	Dolichodorus heterocephalus Cobb	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2134	OOPS:xxxxxxx	Heterodera spp. Cyst of Miller) Pers.	NCBITaxon:34509	Heterodera spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2135	OOPS:xxxxxxx	Xiphinema spp. Dagger of Miller) Pers.	NCBITaxon:243757	Xiphinema spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2136	OOPS:xxxxxxx	Pratylenchus spp. Lesion of Miller) Pers.	NCBITaxon:45927	Pratylenchus spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2137	OOPS:xxxxxxx	Paratylenchus spp. Pin of Miller) Pers.	NCBITaxon:293601	Paratylenchus spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2138	OOPS:xxxxxxx	Paratylenchus hamatus Thorne & Allen Pin of Miller) Pers.	NCBITaxon:293601	Paratylenchus hamatus Thorne & Allen	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2139	OOPS:xxxxxxx	Meloidogyne spp. Root-knot of Miller) Pers.	NCBITaxon:189290	Meloidogyne spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0009005	root
2141	OOPS:xxxxxxx	Paratrichodorus spp. Stubby-root of Miller) Pers.	NCBITaxon:1036940	Paratrichodorus spp.	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0009005	root
2142	OOPS:xxxxxxx	Alfalfa mosaic virus Calico of Miller) Pers.	NCBITaxon:12321	Alfalfa mosaic virus	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2145	OOPS:xxxxxxx	Celery mosaic virus Celery mosaic of Miller) Pers.	NCBITaxon:112436	Celery mosaic virus	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2146	OOPS:xxxxxxx	Celery mosaic virus Celery ring spot of Miller) Pers.	NCBITaxon:112436	Celery mosaic virus	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2147	OOPS:xxxxxxx	Cucumber mosaic virus Southern mosaic of Miller) Pers.	NCBITaxon:12305	Cucumber mosaic virus	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2148	OOPS:xxxxxxx	Tomato spotted wilt virus Tomato spotted wilt of Miller) Pers.	NCBITaxon:11613	Tomato spotted wilt virus	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2150	OOPS:xxxxxxx	Boron deficiency Cracked stem of Miller) Pers.	NCBITaxon:274471	Boron deficiency	NCBITaxon:71936	Miller) Pers.	http://purl.obolibrary.org/obo/PO_0009047	stem
2151	OOPS:xxxxxxx	Acrophialophora fusispora Acrophialophora wilt of Cicer arietinum L.	NCBITaxon:391091	Acrophialophora fusispora (Saksena) M.B. Ellis	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2152	OOPS:xxxxxxx	Alternaria alternata Alternaria blight of Cicer arietinum L.	NCBITaxon:187775	Alternaria alternata (Fr.	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2154	OOPS:xxxxxxx	Alternaria tenuissima Alternaria blight of Cicer arietinum L.	NCBITaxon:119927	Alternaria tenuissima (Kunze	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2156	OOPS:xxxxxxx	Aphanomyces euteiches Drechs. Aphanomyces root rot of Cicer arietinum L.	NCBITaxon:100861	Aphanomyces euteiches Drechs.	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0009005	root
2157	OOPS:xxxxxxx	Ascochyta rabiei Ascochyta blight of Cicer arietinum L.	NCBITaxon:5453	Ascochyta rabiei (Passerini) Labrousse	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2166	OOPS:xxxxxxx	Didymella rabiei Ascochyta blight of Cicer arietinum L.	NCBITaxon:5454	Didymella rabiei (Kovachevski) v. Arx)	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2167	OOPS:xxxxxxx	Xanthomonas campestris pv. cassiae Bacterial blight of Cicer arietinum L.	NCBITaxon:314565	Xanthomonas campestris pv. cassiae (Kulkarni	NCBITaxon:3827	Cicer arietinum L.	http://purl.obolibrary.org/obo/PO_0000003	whole plant
