defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment	
PSO:0002058	soybean cowpea mild mottle virus disease	NCBITaxon:67761	NCBITaxon:3847	PO:0009011	CMMV	SOY:0001334	PSO:cooperl	APSNET:soybean	
PSO:0002059	soybean cowpea severe mosaic virus disease	NCBITaxon:12261	NCBITaxon:3847	PO:0009011	CPSMV	SOY:0001491	PSO:cooperl	APSNET:soybean	
PSO:0002060	soybean mungbean yellow mosaic virus disease	NCBITaxon:33726	NCBITaxon:3847	PO:0009011	MYMIV|Mungbean yellow mosaic India virus|MYMV	SOY:0001504	PSO:cooperl	APSNET:soybean	
PSO:0002061	soybean peanut stunt virus disease	NCBITaxon:12313	NCBITaxon:3847	PO:0009011	PSV	SOY:0001493	PSO:cooperl	APSNET:soybean	
PSO:0002062	soybean crinkle leaf virus disease	NCBITaxon:85753	NCBITaxon:3847	PO:0009011	SCLV	SOY:0001505	PSO:cooperl	APSNET:soybean	
PSO:0002063	soybean chlorotic mottle virus disease	NCBITaxon:10651	NCBITaxon:3847	PO:0009011	SbCMV	SOY:0001506	PSO:cooperl	APSNET:soybean	
PSO:0002064	soybean mild mottle virus disease	NCBITaxon:761701	NCBITaxon:3847	PO:0009011	SbMMV|Soybean mild mosaic virus|SMMV	SOY:0001507	PSO:cooperl	APSNET:soybean	
PSO:0002065	soybean mosaic virus disease	NCBITaxon:12222	NCBITaxon:3847	PO:0009011	SMV	SOY:0001501	PSO:cooperl	APSNET:soybean	
PSO:0002066	soybean dwarf virus disease	NCBITaxon:12049	NCBITaxon:3847	PO:0009011	SbDV	SOY:0001497	PSO:cooperl	APSNET:soybean	
PSO:0002067	soybean tobacco streak virus disease	NCBITaxon:12317	NCBITaxon:3847	PO:0009011	TSV	SOY:0001495	PSO:cooperl	APSNET:soybean	
PSO:0002068	soybean tobacco ringspot virus disease	NCBITaxon:12282	NCBITaxon:3847	PO:0009011	TRSV	SOY:0001321	PSO:cooperl	APSNET:soybean	
PSO:0002069	soybean tobacco mosaic virus disease	NCBITaxon:12242	NCBITaxon:3847	PO:0009011	TMV|soybean strain|TMV-S	SOY:0001502	PSO:cooperl	APSNET:soybean	
