defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000082	maize Macrophomina charcoal rot fungal disease	NCBITaxon:35725	NCBITaxon:4577	PO:0009011		PDO:0000222	PSO:cooperl	APSNET:maize	
PSO:0000083	maize Magnaporthiopsis late wilt fungal disease	NCBITaxon:80373	NCBITaxon:4577	PO:0009011		PDO:0000234	PSO:cooperl	APSNET:maize	
PSO:0000084	maize Marasmiellus borde blanco fungal disease	NCBITaxon:71896	NCBITaxon:4577	PO:0009011		PDO:0000219	PSO:cooperl	APSNET:maize	
PSO:0000085	maize Microdochium zonate leaf spot fungal disease	NCBITaxon:1682391	NCBITaxon:4577	PO:0009025		PDO:0000246	PSO:cooperl	APSNET:maize	
PSO:0000086	maize Myrothecium shuck rot fungal disease	NCBITaxon:226117	NCBITaxon:4577	PO:0009011		PDO:0000236	PSO:cooperl	APSNET:maize	
PSO:0000087	maize Nigrospora dry leaf rot fungal disease	NCBITaxon:335854	NCBITaxon:4577	PO:0009025		PDO:0000257	PSO:cooperl	APSNET:maize	
PSO:0000088	maize northern leaf blight fungal disease	NCBITaxon:93612	NCBITaxon:4577	PO:0009025		PDO:0000186	PSO:cooperl	APSNET:maize	
PSO:0000089	maize northern leaf spot fungal disease	NCBITaxon:5017	NCBITaxon:4577	PO:0009025		PDO:0000183	PSO:cooperl	APSNET:maize	
PSO:0000090	maize Peronosclerospora java downy mildew oomycete disease	NCBITaxon:886949	NCBITaxon:4577	PO:0009011		PDO:0000233	PSO:cooperl	APSNET:maize	
PSO:0000091	maize Peronosclerospora sorghum downy mildew oomycete disease	NCBITaxon:230839	NCBITaxon:4577	PO:0009011		PDO:0000238	PSO:cooperl	APSNET:maize	
PSO:0000092	maize Peronosclerospora sugarcane downy mildew oomycete disease	NCBITaxon:467161	NCBITaxon:4577	PO:0009011		PDO:0000243	PSO:cooperl	APSNET:maize	
PSO:0000093	maize yellow leaf blight fungal disease	NCBITaxon:259522	NCBITaxon:4577	PO:0009025		PDO:0000245	PSO:cooperl	APSNET:maize	PSO:cooperl	APSNET:maize	
PSO:0000094	maize Phaeosphaeria leaf spot fungal disease	NCBITaxon:5020	NCBITaxon:4577	PO:0009025	maize white spot (MWS)	PDO:0000235	PSO:cooperl	APSNET:maize	
PSO:0000095	maize Phyllachora tar spot fungal disease	NCBITaxon:1825666	NCBITaxon:4577	PO:0009011		PDO:0000244	PSO:cooperl	APSNET:maize	
PSO:0000096	maize Physoderma brown spot fungal disease	NCBITaxon:276838	NCBITaxon:4577	PO:0009011		PDO:0000256	PSO:cooperl	APSNET:maize	
PSO:0000097	maize Pithomyces maydicus minor leaf rot fungal disease	NCBITaxon:1921599	NCBITaxon:4577	PO:0009025		PDO:0000273	PSO:cooperl	APSNET:maize	
PSO:0000098	maize Pythium stalk rot oomycete disease	NCBITaxon:65070	NCBITaxon:4577	PO:0009047		PDO:0000208	PSO:cooperl	APSNET:maize	
PSO:0000099	maize Ramulispora grey leaf spot fungal disease	NCBITaxon:135778	NCBITaxon:4577	PO:0009025		PDO:0000240	PSO:cooperl	APSNET:maize	
PSO:0000100	maize Rhizoctonia banded leaf fungal disease	NCBITaxon:456999	NCBITaxon:4577	PO:0009025		PDO:0000252	PSO:cooperl	APSNET:maize	
PSO:0000101	maize Rhizoctonia corticium leaf rot fungal disease	NCBITaxon:456999	NCBITaxon:4577	PO:0009025		PDO:0000223	PSO:cooperl	APSNET:maize	
PSO:0000102	maize Rhizoctonia sheath spot fungal disease	NCBITaxon:456999	NCBITaxon:4577	PO:0020104		PDO:0000251	PSO:cooperl	APSNET:maize	
PSO:0000103	maize Rhizopus microsporus minor leaf rot fungal disease	NCBITaxon:58291	NCBITaxon:4577	PO:0009025		PDO:0000274	PSO:cooperl	APSNET:maize	
PSO:0000104	maize Rhizopus stolonifer minor leaf rot fungal disease	NCBITaxon:4846	NCBITaxon:4577	PO:0009025		PDO:0000275	PSO:cooperl	APSNET:maize	
PSO:0000105	maize Sarocladium black bundle fungal disease	NCBITaxon:5046	NCBITaxon:4577	PO:0009011		PDO:0000187	PSO:cooperl	APSNET:maize	
PSO:0000106	maize Sarocladium kernel rot fungal disease	NCBITaxon:5046	NCBITaxon:4577	PO:0030104		PDO:0000221	PSO:cooperl	APSNET:maize	
PSO:0000107	maize Sclerophthora crazy top downy mildew oomycete disease	NCBITaxon:467176	NCBITaxon:4577	PO:0009011		PDO:0000224	PSO:cooperl	APSNET:maize	
PSO:0000108	maize Sclerospora green leaf downy mildew oomycete disease	NCBITaxon:162130	NCBITaxon:4577	PO:0009025		PDO:0000230	PSO:cooperl	APSNET:maize	
PSO:0000109	maize Scopulariopsis brumptii minor leaf rot fungal disease	NCBITaxon:40376	NCBITaxon:4577	PO:0009025		PDO:0000276	PSO:cooperl	APSNET:maize	
PSO:0000110	maize seed rot and seedling blight bacterial disease	NCBITaxon:1423	NCBITaxon:4577	PO:0009011		PDO:0000154	PSO:cooperl	APSNET:maize	
PSO:0000111	maize Setosphaeria minor leaf spot fungal disease	NCBITaxon:39953	NCBITaxon:4577	PO:0009025		PDO:0000207	PSO:cooperl	APSNET:maize	
PSO:0000112	maize Setosphaeria root rot fungal disease	NCBITaxon:119929	NCBITaxon:4577	PO:0009005		PDO:0000231	PSO:cooperl	APSNET:maize	
PSO:0000113	maize Sphacelotheca head smut fungal disease	NCBITaxon:72558	NCBITaxon:4577	PO:0025597		PDO:0000237	PSO:cooperl	APSNET:maize	
PSO:0000115	maize Stewart's bacterial disease	NCBITaxon:66271	NCBITaxon:4577	PO:0009011		PDO:0000155	PSO:cooperl	APSNET:maize	
PSO:0000116	maize stunt bacterial disease	NCBITaxon:47834	NCBITaxon:4577	PO:0009011		PDO:0000156	PSO:cooperl	APSNET:maize	
PSO:0000117	maize Ustilaginoidea false smut fungal disease	NCBITaxon:1159556	NCBITaxon:4577	PO:0009011		PDO:0000242	PSO:cooperl	APSNET:maize	
PSO:0000118	maize Ustilago smut fungal disease	NCBITaxon:5270	NCBITaxon:4577	PO:0009011		PDO:0000182	PSO:cooperl	APSNET:maize	
PSO:0000119	maize viral disease	NCBITaxon:10239	NCBITaxon:4577	PO:0009011		PDO:0000013	PSO:cooperl	APSNET:maize	
PSO:0000181	maize Gonatobotrys simplex minor ear rot fungal disease	NCBITaxon:2713053	NCBITaxon:4577	PO:0025597		PDO:0000272	PSO:cooperl	APSNET:maize	
PSO:0000182	maize Ascochyta ischaemi yellow leaf blight fungal disease	NCBITaxon:5453	NCBITaxon:4577	PO:0020136		PDO:0000217	PSO:cooperl	APSNET:maize	
PSO:0000187	maize oomycete disease	NCBITaxon:4762	NCBITaxon:4577	PO:0009011			PSO:cooperl	APSNET:maize	
