	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
92	OOPS:xxxxxxx	Pleurotus spp. of Ulmus spp.	NCBITaxon:1405614	Pleurotus spp.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
93	OOPS:xxxxxxx	Polyporus squamosus of Ulmus spp.	NCBITaxon:5640	Polyporus squamosus (Huds.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
96	OOPS:xxxxxxx	Deuteromycetes of Ulmus spp.	NCBITaxon:4751	Deuteromycetes	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
97	OOPS:xxxxxxx	Actinomycetes of Ulmus spp.	NCBITaxon:201174	Actinomycetes	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
103	OOPS:xxxxxxx	Unknown, Scotland only of Fragaria ÌÑ ananassa Duch.	NCBITaxon:7540	Unknown	NCBITaxon:3746	Fragaria ÌÑ ananassa Duch.	http://purl.obolibrary.org/obo/PO_0006109	pith
117	OOPS:xxxxxxx	Mycosphaerella pomi of Malus ÌÑ domestica Borkh.	NCBITaxon:1303387	Mycosphaerella pomi (Pass.) Lindau	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
118	OOPS:xxxxxxx	Cylindrosporium pomi C. Brooks [anamorph] of Malus ÌÑ domestica Borkh.	NCBITaxon:446925	Cylindrosporium pomi C. Brooks [anamorph]	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
120	OOPS:xxxxxxx	#NAME? Leptosphaeria coniothyrium of Malus ÌÑ domestica Borkh.	NCBITaxon:318708	Leptosphaeria coniothyrium (Fuckel) Sacc.	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
121	OOPS:xxxxxxx	Coniothyrium fuckelii Sacc. [anamorph] of Malus ÌÑ domestica Borkh.	NCBITaxon:754269	Coniothyrium fuckelii Sacc. [anamorph]	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
122	OOPS:xxxxxxx	Phytophthora cactorum of Malus ÌÑ domestica Borkh.	NCBITaxon:29920	Phytophthora cactorum (Lebert & Cohn) J. Schrot.	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
123	OOPS:xxxxxxx	P. syringae Phytophthora syringae of Malus ÌÑ domestica Borkh.	NCBITaxon:67594	Phytophthora syringae (Kleb.) Kleb.	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
124	OOPS:xxxxxxx	Apple scar skin viroid of Malus ÌÑ domestica Borkh.	NCBITaxon:3750	Apple scar skin viroid (ASSVd)	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
125	OOPS:xxxxxxx	Apple fruit crinkle viroid of Malus ÌÑ domestica Borkh.	NCBITaxon:3750	Apple fruit crinkle viroid (AFCVd) (Japan)	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
126	OOPS:xxxxxxx	Apple scar skin viroid of Malus ÌÑ domestica Borkh.	NCBITaxon:3750	Apple scar skin viroid (ASSVd)	NCBITaxon:3749	Malus ÌÑ domestica Borkh.	http://purl.obolibrary.org/obo/PO_0009001	fruit
132	OOPS:xxxxxxx	Alternaria alternata of Prunus armeniaca L.	NCBITaxon:187775	Alternaria alternata (Fr.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
134	OOPS:xxxxxxx	Monilinia fructicola of Prunus armeniaca L.	NCBITaxon:38448	Monilinia fructicola (G. Wint.) Honey	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
135	OOPS:xxxxxxx	M. laxa Monilinia laxa of Prunus armeniaca L.	NCBITaxon:61186	Monilinia laxa (Aderhold) & Ruhland) Honey	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
136	OOPS:xxxxxxx	Botrytis cinerea Pers.:Fr. of Prunus armeniaca L.	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
139	OOPS:xxxxxxx	Sclerotinia sclerotiorum of Prunus armeniaca L.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
140	OOPS:xxxxxxx	Rhizopus arrhizus A. Fischer of Prunus armeniaca L.	NCBITaxon:1542858	Rhizopus arrhizus A. Fischer	NCBITaxon:36596	Prunus armeniaca L.	http://purl.obolibrary.org/obo/PO_0009001	fruit
