defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PSO:0000054	Corynespora cassiicola Leaf spot of Saintpaulia ionantha Wendl.	NCBITaxon:1448308	Corynespora cassiicola (Berk. & M. A. Curtis) C. T. Wei	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009025	leaf	Corynespora cassiicola Leaf spot of Saintpaulia ionantha Wendl.|Leaf spot
PSO:0000055	Phytophthora nicotianae Breda de Haan var. parasitica Phytophthora root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:4790	Phytophthora nicotianae Breda de Haan var. parasitica (Dast.) Waterh.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Phytophthora nicotianae Breda de Haan var. parasitica Phytophthora root and crown rot of Saintpaulia ionantha Wendl.|Phytophthora nicotianae Dastur var. nicotianae Phytophthora root and crown rot of Saintpaulia ionantha Wendl.|Phytophthora root and crown rot|Phytophthora root and crown rot
PSO:0000056	Phytophthora cryptogea Peth. & Laff. Phytophthora root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:4786	Phytophthora cryptogea Peth. & Laff.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Phytophthora cryptogea Peth. & Laff. Phytophthora root and crown rot of Saintpaulia ionantha Wendl.|Phytophthora root and crown rot
PSO:0000057	Oidium sp. Link Powdery mildew of Saintpaulia ionantha Wendl.	NCBITaxon:1221544	Oidium sp. Link	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Oidium sp. Link Powdery mildew of Saintpaulia ionantha Wendl.|Powdery mildew
PSO:0000058	Pythium sp. Pringsh. Pythium root rot of Saintpaulia ionantha Wendl.	NCBITaxon:944628	Pythium sp. Pringsh.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Pythium sp. Pringsh. Pythium root rot of Saintpaulia ionantha Wendl.|Pythium root rot
PSO:0000059	Rhizoctonia sp. D.C. Rhizoctonia root and crown rot of Saintpaulia ionantha Wendl.	NCBITaxon:992430	Rhizoctonia sp. D.C.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Rhizoctonia sp. D.C. Rhizoctonia root and crown rot of Saintpaulia ionantha Wendl.|Rhizoctonia root and crown rot
PSO:0000060	Impatiens necrotic spot virus Leaf etch of Saintpaulia ionantha Wendl.	NCBITaxon:11612	Impatiens necrotic spot virus	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009025	leaf	Impatiens necrotic spot virus Leaf etch of Saintpaulia ionantha Wendl.|Leaf etch
PSO:0000061	Anemone mosaic virus Mosaic of Saintpaulia ionantha Wendl.	NCBITaxon:459305	Anemone mosaic virus	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Anemone mosaic virus Mosaic of Saintpaulia ionantha Wendl.|Mosaic
PSO:0000062	Aphelenchoides fragariae Foliar nematode of Saintpaulia ionantha Wendl.	NCBITaxon:90724	Aphelenchoides fragariae (Ritzema Bos) Christie	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Aphelenchoides fragariae Foliar nematode of Saintpaulia ionantha Wendl.|Foliar nematode
PSO:0000063	Aphelenchoides ritzemabosi Foliar nematode of Saintpaulia ionantha Wendl.	NCBITaxon:409481	Aphelenchoides ritzemabosi (Schwartz) Steiner & Buhrer	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Aphelenchoides ritzemabosi Foliar nematode of Saintpaulia ionantha Wendl.|Foliar nematode
