iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
OOPS:xxxxxxx	Phymatotrichopsis omnivora Phymatotrichopsis root rot of Medicago sativa L.	NCBITaxon:231936	Phymatotrichopsis omnivora (Duggar) Hennebert (syn. Phymatotrichum omnivorum (Shear) Duggar)	NCBITaxon:36902	Medicago sativa L.	PO_0009005	root
OOPS:xxxxxxx	Erysiphe pisi D. C. Powdery mildew of Medicago sativa L.	NCBITaxon:36044	Erysiphe pisi D. C.	NCBITaxon:36902	Medicago sativa L.	PO_0000003	whole plant
OOPS:xxxxxxx	Leveillula taurica Powdery mildew of Medicago sativa L.	NCBITaxon:62718	Leveillula taurica (Lév.) Arn.	NCBITaxon:36902	Medicago sativa L.	PO_0000003	whole plant
OOPS:xxxxxxx	Rhizoctonia solani. G. Kühn Rhizoctonia damping off of Medicago sativa L.	NCBITaxon:992430	Rhizoctonia solani. G. Kühn	NCBITaxon:36902	Medicago sativa L.	PO_0009005	root
OOPS:xxxxxxx	Thanatephorus cucumeris Rhizoctonia damping off of Medicago sativa L.	NCBITaxon:1379297	Thanatephorus cucumeris (A. B. Frank) Donk	NCBITaxon:36902	Medicago sativa L.	PO_0009005	root
OOPS:xxxxxxx	Rhizopus stolonifer Rhizopus sprout rot of Medicago sativa L.	NCBITaxon:1274793	Rhizopus stolonifer (Ehrenb.) Vuill	NCBITaxon:36902	Medicago sativa L.	PO_0000003	whole plant
OOPS:xxxxxxx	Uromyces striatus J. Schröt. Rust of Medicago sativa L.	NCBITaxon:5263	Uromyces striatus J. Schröt.	NCBITaxon:36902	Medicago sativa L.	PO_0000003	whole plant
OOPS:xxxxxxx	Sclerotinia trifoliorum Erikss. sensu Kohn Sclerotinia crown and stem rot of Medicago sativa L.	NCBITaxon:1095956	Sclerotinia trifoliorum Erikss. sensu Kohn	NCBITaxon:36902	Medicago sativa L.	PO_0009047	stem
OOPS:xxxxxxx	Sclerotinia sclerotiorum Sclerotinia crown and stem rot of Medicago sativa L.	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) de Bary	NCBITaxon:36902	Medicago sativa L.	PO_0009047	stem
OOPS:xxxxxxx	Athelia rolfsii Southern Sclerotium blight of Medicago sativa L.	NCBITaxon:39291	Athelia rolfsii (Curzi) C. C. Tu & Kimbr.	NCBITaxon:36902	Medicago sativa L.	PO_0000003	whole plant
OOPS:xxxxxxx	Phoma medicaginis Malbr. & Roum. Spring black stem and leaf spot of Medicago sativa L.	NCBITaxon:269363	Phoma medicaginis Malbr. & Roum.	NCBITaxon:36902	Medicago sativa L.	PO_0025034	leaf
OOPS:xxxxxxx	Leptosphaeria weimeri Shoemaker Stagonospora leaf spot and root rot of Medicago sativa L.	NCBITaxon:1542849	Leptosphaeria weimeri Shoemaker	NCBITaxon:36902	Medicago sativa L.	PO_0009005	root
